"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Mar 08 20:06:45 MSK 2026","Sun Mar 08 20:06:48 MSK 2026","2568","","tests.ConstructorTest","","tests.ConstructorTest","testGoToSauces","Переход в раздел Соусы","Клик по кнопке Соусы делает раздел активным"
"passed","Sun Mar 08 20:06:50 MSK 2026","Sun Mar 08 20:06:52 MSK 2026","1997","","tests.ConstructorTest","","tests.ConstructorTest","testGoToBuns","Переход в раздел Булки","Клик по кнопке Булки делает раздел активным"
"passed","Sun Mar 08 20:07:01 MSK 2026","Sun Mar 08 20:07:03 MSK 2026","2190","","tests.LoginTest","","tests.LoginTest","loginViaEnterButton","Вход через кнопку 'Войти' в форме регистрации","Проверяем успешный логин через форму регистрации"
"passed","Sun Mar 08 20:07:03 MSK 2026","Sun Mar 08 20:07:05 MSK 2026","2061","","tests.RegisterTest","","tests.RegisterTest","successfulRegistrationTest","Успешная регистрация пользователя","Проверяем, что регистрация через форму работает"
"passed","Sun Mar 08 20:06:55 MSK 2026","Sun Mar 08 20:06:57 MSK 2026","2577","","tests.LoginTest","","tests.LoginTest","loginViaBackToLoginLink","Вход через кнопку 'Войти' в форме восстановления пароля","Проверяем успешный логин через восстановление пароля"
"passed","Sun Mar 08 20:07:05 MSK 2026","Sun Mar 08 20:07:07 MSK 2026","1475","","tests.RegisterTest","","tests.RegisterTest","checkRegistrationPasswordError","Ошибка для некорректного пароля","Проверяем, что при пароле <6 символов возникает ошибка"
"passed","Sun Mar 08 20:06:52 MSK 2026","Sun Mar 08 20:06:55 MSK 2026","3074","","tests.LoginTest","","tests.LoginTest","loginViaEnterAccountButton","Вход через кнопку 'Войти в аккаунт' на главной странице","Проверяем успешный логин через главную страницу"
"passed","Sun Mar 08 20:06:57 MSK 2026","Sun Mar 08 20:07:01 MSK 2026","4038","","tests.LoginTest","","tests.LoginTest","loginViaPersonalAccountButton","Вход через  кнопку 'Личный кабинет' ","Проверяем успешный логин через кнопку 'Личный кабинет'"
"passed","Sun Mar 08 20:06:48 MSK 2026","Sun Mar 08 20:06:50 MSK 2026","1650","","tests.ConstructorTest","","tests.ConstructorTest","testGoToFillings","Переход в раздел Начинки","Клик по кнопке Начинки делает раздел активным"
